Make;Model;Vehicle Class;Engine Size(L);Cylinders;Transmission;Fuel Type;Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Fuel Consumption Comb (mpg);CO2 Emissions(g/km)
ACURA;ILX;COMPACT;2;4;AS5;Z;09. Sep;06. Jul;08. May;33;196
ACURA;ILX;COMPACT;02. Apr;4;M6;Z;11. Feb;07. Jul;09. Jun;29;221
ACURA;ILX HYBRID;COMPACT;01. May;4;AV7;Z;6;05. Aug;05. Sep;48;136
ACURA;MDX 4WD;SUV - SMALL;03. May;6;AS6;Z;12. Jul;09. Jan;11. Jan;25;255
ACURA;RDX AWD;SUV - SMALL;03. May;6;AS6;Z;12. Jan;08. Jul;10. Jun;27;244
ACURA;RLX;MID-SIZE;03. May;6;AS6;Z;11. Sep;07. Jul;10;28;230
ACURA;TL;MID-SIZE;03. May;6;AS6;Z;11. Aug;08. Jan;10. Jan;28;232
ACURA;TL AWD;MID-SIZE;03. Jul;6;AS6;Z;12. Aug;9;11. Jan;25;255
ACURA;TL AWD;MID-SIZE;03. Jul;6;M6;Z;13. Apr;09. May;11. Jun;24;267
ACURA;TSX;COMPACT;02. Apr;4;AS5;Z;10. Jun;07. May;09. Feb;31;212
ACURA;TSX;COMPACT;02. Apr;4;M6;Z;11. Feb;08. Jan;09. Aug;29;225
ACURA;TSX;COMPACT;03. May;6;AS5;Z;12. Jan;08. Mar;10. Apr;27;239
ALFA ROMEO;4C;TWO-SEATER;01. Aug;4;AM6;Z;09. Jul;06. Sep;08. Apr;34;193
ASTON MARTIN;DB9;MINICOMPACT;05. Sep;12;A6;Z;18;12. Jun;15. Jun;18;359
ASTON MARTIN;RAPIDE;SUBCOMPACT;05. Sep;12;A6;Z;18;12. Jun;15. Jun;18;359
ASTON MARTIN;V8 VANTAGE;TWO-SEATER;04. Jul;8;AM7;Z;17. Apr;11. Mar;14. Jul;19;338
ASTON MARTIN;V8 VANTAGE;TWO-SEATER;04. Jul;8;M6;Z;18. Jan;12. Feb;15. Apr;18;354
ASTON MARTIN;V8 VANTAGE S;TWO-SEATER;04. Jul;8;AM7;Z;17. Apr;11. Mar;14. Jul;19;338
ASTON MARTIN;V8 VANTAGE S;TWO-SEATER;04. Jul;8;M6;Z;18. Jan;12. Feb;15. Apr;18;354
ASTON MARTIN;VANQUISH;MINICOMPACT;05. Sep;12;A6;Z;18;12. Jun;15. Jun;18;359
AUDI;A4;COMPACT;2;4;AV8;Z;09. Sep;07. Apr;08. Aug;32;202
AUDI;A4 QUATTRO;COMPACT;2;4;AS8;Z;11. May;08. Jan;10;28;230
AUDI;A4 QUATTRO;COMPACT;2;4;M6;Z;10. Aug;07. May;09. Mar;30;214
AUDI;A5 CABRIOLET QUATTRO;SUBCOMPACT;2;4;AS8;Z;11. May;08. Jan;10;28;230
AUDI;A5 QUATTRO;SUBCOMPACT;2;4;AS8;Z;11. May;08. Jan;10;28;230
AUDI;A5 QUATTRO;SUBCOMPACT;2;4;M6;Z;10. Aug;07. May;09. Mar;30;214
AUDI;A6 QUATTRO;MID-SIZE;2;4;AS8;Z;12;08. Jan;10. Feb;28;235
AUDI;A6 QUATTRO;MID-SIZE;3;6;AS8;Z;12. Aug;08. Jun;10. Sep;26;251
AUDI;A6 QUATTRO TDI (modified);MID-SIZE;3;6;AS8;D;09. Aug;06. Feb;08. Jan;35;217
AUDI;A7 QUATTRO;MID-SIZE;3;6;AS8;Z;13. Mar;08. May;11. Feb;25;262
AUDI;A7 QUATTRO TDI (modified);MID-SIZE;3;6;AS8;D;09. Aug;06. Feb;08. Jan;35;217
AUDI;A8;MID-SIZE;3;6;AS8;Z;13. Jan;08. Aug;11. Feb;25;258
AUDI;A8;MID-SIZE;4;8;AS8;Z;13. Jul;08. Mar;11. Mar;25;265
AUDI;A8 TDI (modified);MID-SIZE;3;6;AS8;D;09. Aug;06. May;08. Apr;34;224
AUDI;A8L;FULL-SIZE;3;6;AS8;Z;13. Jan;08. Aug;11. Feb;25;258
AUDI;A8L;FULL-SIZE;4;8;AS8;Z;14. Jul;09. Jul;12. May;23;288
AUDI;A8L;FULL-SIZE;06. Mar;12;AS8;Z;18. Jul;11. May;15. May;18;363
AUDI;A8L TDI (modified);FULL-SIZE;3;6;AS8;D;09. Aug;06. May;08. Apr;34;224
AUDI;ALLROAD QUATTRO;STATION WAGON - SMALL;2;4;AS8;Z;11. Aug;08. Aug;10. May;27;242
AUDI;Q5;SUV - SMALL;2;4;AS8;Z;12;08. May;10. Apr;27;239
AUDI;;SUV - SMALL;3;6;AS8;Z;12. Sep;09. Feb;11. Feb;25;258
AUDI; TDI (modified);SUV - SMALL;3;6;AS8;D;10. Feb;07. Aug;9;31;244
AUDI;Q5 HYBRID;SUV - SMALL;2;4;AS8;Z;09. Sep;08. Mar;09. Feb;31;212
AUDI;Q7;SUV - STANDARD;3;6;AS8;Z;15. Jan;10. Sep;13. Feb;21;304
AUDI;Q7 TDI (modified);SUV - STANDARD;3;6;AS8;D;12. Apr;08. Jul;10. Jul;26;290
AUDI;R8;TWO-SEATER;04. Feb;8;A7;Z;17. Jun;11;14. Jun;19;336
AUDI;R8;TWO-SEATER;04. Feb;8;M6;Z;21. Feb;13. Apr;17. Jul;16;407
AUDI;R8;TWO-SEATER;05. Feb;10;A7;Z;18. Feb;10. Jun;14. Aug;19;347
AUDI;R8;TWO-SEATER;05. Feb;10;M6;Z;21. Jan;13. Aug;17. Aug;16;409
AUDI;R8 SPYDER;TWO-SEATER;04. Feb;8;A7;Z;17. Jun;11;14. Jun;19;336
AUDI;R8 SPYDER;TWO-SEATER;04. Feb;8;M6;Z;21. Feb;13. Apr;17. Jul;16;407
AUDI;R8 SPYDER;TWO-SEATER;05. Feb;10;A7;Z;18. Feb;10. Jun;14. Aug;19;347
AUDI;R8 SPYDER;TWO-SEATER;05. Feb;10;M6;Z;21. Jan;13. Aug;17. Aug;16;409
AUDI;RS 5;SUBCOMPACT;04. Feb;8;A7;Z;15. Mar;10. Sep;13. Mar;21;306
AUDI;RS 5 CABRIOLET;SUBCOMPACT;04. Feb;8;A7;Z;15. Feb;11. Mar;13. Apr;21;308
AUDI;RS 7;MID-SIZE;4;8;AS8;Z;15. May;08. Aug;12. May;23;293
AUDI;S4;COMPACT;3;6;A7;Z;13. Feb;09. Feb;11. Apr;25;262
AUDI;S4;COMPACT;3;6;M6;Z;14. Jun;09. Aug;12. Apr;23;285
AUDI;S5;SUBCOMPACT;3;6;A7;Z;13. Feb;09. Feb;11. Apr;25;262
AUDI;S5;SUBCOMPACT;3;6;M6;Z;14. Jun;09. Aug;12. Apr;23;285
AUDI;S5 CABRIOLET;SUBCOMPACT;3;6;A7;Z;13. Mar;09. May;11. Jun;24;267
